SalesHistory
Table 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DealNumber,ContractDate,DeliveryDate,DealStatus,Comments,InventoryType,StockNumber,VIN,VehicleMake,VehicleModel,VehicleModelYear,VehicleSalePrice,TotalGrossProfit,BackEndGrossProfit,FrontEndGrossProfit,APR,ContractTerm,MonthlyPayment,BuyerID,BuyerBirthDate,BuyerHomeAddressCity,BuyerHomeAddressState,BuyerHomeAddressPostalCode,SalesPersonID,SalesPerson2ID,Trade1_StockNumber,Trade1_VIN,Trade1_Year,Trade1_Make,Trade1_Model,Trade2_VIN,Trade2_Year,Trade2_Make,Trade2_Model
17373,6/20/14 0:00,6/20/14 0:00,F,,N,P461,JTHCE1D21E5002509,Lexus,IS 350,2014,49152,1663,150,1513,1.9,60,437.1,22440,,Bristol,IN,46507,2876,,,,,,,,,,
1738,12/22/06 0:00,12/22/06 0:00,F,,N,CCG473,2T2HK31U27C040866,Lexus,RX 350,2007,38911.62,1934.81,276.19,1888.62,0.00147,48,509.43,18543,,Saint Joseph,MI,49085,2947,,,,,,,,,,
17381,6/18/14 0:00,6/18/14 0:00,F,,U,R143A,2T2HK31U98C063529,Lexus,RX 350,2008,22995,4448.24,940,3508.24,,,,13331,,South Bend,IN,466371350,4692,,,2T2HA31U25C044397,2005,Lexus,RX 330,,,,
17384,6/26/14 0:00,6/26/14 0:00,F,,N,R162,2T2BK1BA1FC254261,Lexus,RX 350,2015,45639.95,-378.05,0,-378.05,,,,22446,,Granger,IN,46530,9336,,,5GAKVBED1BJ380756,2011,Buick,Enclave,,,,
17387,6/25/14 0:00,6/25/14 0:00,F,,U,L1391,JN8AZ2NE8B9002074,Infiniti,QX56,2011,37497,-60.64,1763.53,-1824.17,5.15,60,665.2,22457,,Muncie,IN,47304,2876,,,,,,,,,,
17391,6/24/14 0:00,6/24/14 0:00,F,,N,P453,JTHBK1GG9E2133118,Lexus,ES 350,2014,38363,-157,0,-157,,,,21553,,Cassopolis,MI,490319313,9336,,,JTHB9466572094035,0,,,,,,
17396,6/21/14 0:00,6/21/14 0:00,F,,U,L1423,JTJBM7FX7B5026169,Lexus,GX 460,2011,39600,4056.04,0,4056.04,,,,22453,,Hartford,MI,49057,2876,,,,,,,,,,
1740,12/14/06 0:00,12/14/06 0:00,F,,U,CCL658,JTHCK262065002305,Lexus,IS 250,2006,38318.93,3377.1,873.25,3245,6.9,60,783.24,11956,3/20/50 0:00,Granger,IN,465309263,2876,,L658A,1D4HB48286F138095,2006,Dodge,Durango,,,,
17401,7/7/14 0:00,7/7/14 0:00,F,,U,P308B,JTHCK262775010662,Lexus,IS 250,2007,16561,4085.68,1413.92,2671.76,15.3,60,410.58,22460,,Southbend,IN,46628,8288,,,,,,,,,,
17402,6/27/14 0:00,6/27/14 0:00,F,,N,P466,JTHBK1GG2E2132005,Lexus,ES 350,2014,38734,-62,200,-262,2.9,27,346.36,102114,12/18/39 0:00,Auburn,IN,467069456,2876,,,,,,,,,,
17409,7/7/14 0:00,7/7/14 0:00,F,,N,P478,JTJBM7FX0E5083947,Lexus,GX 460,2014,56175,2931.18,489.18,2442,2.9,42,834.84,13315,2/22/76 0:00,Carmel,IN,460330002,2876,,,JTJBM7FX4C5049541,2012,Lexus,GX 460,,,,
17411,6/26/14 0:00,6/26/14 0:00,F,,N,P465,JTJBM7FX0E5079218,Lexus,GX 460,2014,56120,3348.8,0,3348.8,,,,11843,,Fort Wayne,IN,468149743,2876,,,,,,,,,,
17413,6/24/14 0:00,6/24/14 0:00,F,,U,P343A,2T2HA31U26C095013,Lexus,RX 330,2006,15893,3710.72,0,3710.72,,,,22470,,Osceola,IN,46561,8288,,,JF1SG65653H739834,2003,Subaru,Forester,,,,
17417,6/25/14 0:00,6/25/14 0:00,F,,U,R122B,WP0AA29992S623221,Porsche,911,2002,29000,8662.05,0,8662.05,,,,19901,,Laporte,IN,46350,4692,,,,,,,,,,
17418,6/26/14 0:00,6/26/14 0:00,F,,N,P458,JTHBK1GG3E2135589,Lexus,ES 350,2014,44523,1323,0,1323,,,,245464,,Elkhart,IN,46514,2995,,,JTHBN36F640160699,2004,Lexus,LS 430,,,,
17420,7/7/14 0:00,7/7/14 0:00,F,,N,R168,2T2BK1BA5FC266669,Lexus,RX 350,2015,48904,-2139.3,337.97,-340,2.9,36,619.14,527829,11/3/52 0:00,Bonita Springs,FL,341358639,2876,,,2T2BK1BA0DC193529,2013,Lexus,RX 350,,,,
17421,6/28/14 0:00,6/28/14 0:00,F,,N,R144,2T2BK1BA4FC257851,Lexus,RX 350,2015,49384,1960.44,760.44,1200,2.9,36,534.59,14606,2/21/59 0:00,La Porte,IN,46350,2876,,,,,,,,,,
17425,6/27/14 0:00,6/27/14 0:00,F,,U,L1442,JTHBJ46G482170975,Lexus,ES 350,2008,21000,5487.75,508.97,4978.78,5.95,60,491.73,22457,,Muncie,IN,47304,2876,,,JN8AS5MT0AW008098,2010,Nissan,Rogue,,,,
17427,6/30/14 0:00,6/30/14 0:00,F,,N,P471,JTHKD5BH7E2183551,Lexus,CT 200h,2014,37730,625,546,79,1.9,60,814.82,13206,11/18/62 0:00,Granger,IN,46530,4692,,,JTHKD5BH4B2034199,2011,Lexus,CT 200h,,,,
17430,6/30/14 0:00,6/30/14 0:00,F,,N,R163,2T2BC1BA2FC003021,Lexus,RX 450h,2015,55366,19,0,19,,,,22483,,Zeeland,MI,49464,5283,,,,,,,,,,
17432,6/30/14 0:00,6/30/14 0:00,F,,N,P470,JTHBK1GG0E2137168,Lexus,ES 350,2014,41932,-235,250,-485,0.9,36,845.43,22494,,Berrien Springs,MI,491039789,2995,,,,,,,,,,
17434,6/28/14 0:00,6/28/14 0:00,F,,U,P319A,2G4GT5GVXD9192684,Buick,Regal,2013,22000,4403.35,1184.45,3218.9,3.95,60,435.73,22485,,Edwardsburg,MI,49112,8288,,,,,,,,,,
17435,6/28/14 0:00,6/28/14 0:00,F,,U,R135A,JH4KB16586C000927,Acura,RL,2006,16000,4928.02,0,4928.02,,,,22487,,Rockford,MI,49341,4692,,,,,,,,,,
17437,6/28/14 0:00,6/28/14 0:00,F,,U,P201B,JTHBN36F565053942,Lexus,LS 430,2006,16525,3749.91,0,3749.91,,,,19900,,Vestavia,AL,352435274,2876,,,,,,,,,,
17438,6/30/14 0:00,6/30/14 0:00,F,,N,R123,2T2BK1BA2FC257377,Lexus,RX 350,2015,52749,-411,150,-561,1.9,24,581.78,12057,,Syracuse,IN,46567,5283,,,WDDHF8JB4CA612898,2012,Mercedes-Benz,E350,,,,
17440,6/30/14 0:00,6/30/14 0:00,F,,N,P472,JTHCL5EF8E5021976,Lexus,LS 460,2014,77176,3050,0,3050,,,,22492,,Gary,IN,46404,2995,,,,,,,,,,
17441,6/30/14 0:00,6/30/14 0:00,F,,U,P432A,JTHCE1BL3D5004210,Lexus,GS 350,2013,42995,938.16,200,738.16,1.9,60,489.01,585590,8/28/53 0:00,Bristol,IN,465079094,4692,,,WBAHN83598DT78166,2008,BMW,750Li,,,,
17442,7/3/14 0:00,7/3/14 0:00,F,,U,R122C,WAUNF78P47A020526,Audi,A3,2007,10065,3122,224.12,2897.88,9.45,60,229.04,22504,,Elkhart,IN,46517,2876,,,,,,,,,,
17446,7/3/14 0:00,7/3/14 0:00,F,,U,P105B,5TDDK3EH7DS192015,Toyota,Highlander,2013,29000,1354.49,0,1354.49,,,,22501,,South Bend,IN,46615,8288,,,,,,,,,,
17449,7/7/14 0:00,7/7/14 0:00,F,,N,P475,JTJJM7FX5E5083213,Lexus,GX 460,2014,63408,5601.65,1935.65,3666,2.9,36,1188.03,17428,9/2/63 0:00,Bridgman,MI,49106,5283,,,JTJJM7FX2C5040641,2012,Lexus,GX 460,,,,
17450,7/7/14 0:00,7/7/14 0:00,F,,N,P464,JTHCF1D2XE5014011,Lexus,IS 250,2014,44865,2444.79,481.79,1963,2.9,48,464.83,104945,,Leesburg,IN,465389148,2995,,,,,,,,,,
17451,7/7/14 0:00,7/7/14 0:00,F,,U,L1443,JTHBJ46G692324345,Lexus,ES 350,2009,20995,5950.58,554.49,5396.09,4.3,60,260.72,20201,,Plymouth,IN,465638415,5283,2995,,1G1YY33P8P5100214,1993,Chevrolet,Corvette,,,,
17454,7/2/14 0:00,7/2/14 0:00,F,,U,P345B,1GNFK16Z92J337321,Chevrolet,Suburban 1500,2002,6493,3655.05,0,3655.05,,,,22503,,Mishawaka,IN,46544,2876,,,KNDUP131646573589,2004,Kia,Sedona,,,,
17462,7/8/14 0:00,7/8/14 0:00,F,,U,R110A,2T2BK1BA3AC062803,Lexus,RX 350,2010,25165,2985.04,0,2985.04,,,,100686,,South Bend,IN,46614,9336,,,JTJHF10U410231623,2001,Lexus,RX 300,,,,
17465,7/7/14 0:00,7/7/14 0:00,F,,U,P376A,2T2BK1BA8AC012933,Lexus,RX 350,2010,24995,2894.52,990.18,1904.34,2.9,60,354.96,12302,10/25/50 0:00,Mishawaka,IN,465458901,2995,,,JTJHW31U082050379,2008,Lexus,RX 400h,,,,
17469,7/8/14 0:00,7/8/14 0:00,F,,N,R150,2T2BK1BA9FC263080,Lexus,RX 350,2015,51334,244,0,244,,,,644210,,Elkhart,IN,46514,2876,,,JTHCE96S870007265,2007,Lexus,GS 350,,,,
17478,7/8/14 0:00,7/8/14 0:00,F,,U,P376B,JTJHW31U082050379,Lexus,RX 400h,2008,22900,6014.8,0,6014.8,,,,21830,,Mishawaka,IN,465445601,2995,,,,,,,,,,
17479,7/8/14 0:00,7/8/14 0:00,F,,U,L1436,JTHBK1EG1B2454293,Lexus,ES 350,2011,28995,2603.88,1000,1603.88,2.9,60,358.46,22512,,Plymouth,IN,46563,2995,,,,,,,,,,
17486,7/9/14 0:00,7/9/14 0:00,F,,U,L1433,JTHCK262172012571,Lexus,IS 250,2007,15995,3097.16,0,3097.16,,,,22004,,Goshen,IN,465264528,2876,,,,,,,,,,
17489,7/21/14 0:00,7/21/14 0:00,F,,N,P488,JTJBM7FX6E5083872,Lexus,GX 460,2014,55965,4266.79,1200.79,3066,2.9,36,846.36,22548,,Union,MI,49130,2876,5283,,,,,,,,,
17492,7/28/14 0:00,7/28/14 0:00,F,,N,P460,JTHKD5BH0E2197226,Lexus,CT 200h,2014,33450,858,200,658,2.9,48,344.13,22562,,South Bend,IN,46617,2995,,,,,,,,,,
17494,7/11/14 0:00,7/11/14 0:00,F,,N,P479,JTJJM7FX2E5085081,Lexus,GX 460,2014,63077.25,-145.75,0,-145.75,,,,22009,,South Bend,IN,46637,2876,9336,,1FMPU18L91LA54772,2001,Ford,Expedition,,,,
17496,7/11/14 0:00,7/11/14 0:00,F,,U,P275A,JTHCF1D20E5001042,Lexus,IS 250,2014,41131,1302.98,733.38,569.6,2.7,63,624.93,22520,,Southbend,IN,46619,4692,,,1G6DW677670159902,2007,Cadillac,STS,,,,
17497,7/11/14 0:00,7/11/14 0:00,F,,U,P233B,2T2BK1BAXAC023688,Lexus,RX 350,2010,26228,3409.13,1608.14,1800.99,4.9,63,489.61,21739,,South Bend,IN,466143149,2995,,,2C8GF68464R610485,2004,Chrysler,Pacifica,,,,
17498,7/12/14 0:00,7/12/14 0:00,F,,N,P480,JTHBK1GG7E2139886,Lexus,ES 350,2014,43839,353,0,353,,,,11566,,Culver,IN,46511,5283,,,JTHBF30G020078706,2002,Lexus,ES 300,,,,
17502,7/14/14 0:00,7/14/14 0:00,F,,U,R143B,2T2HA31U25C044397,Lexus,RX 330,2005,13000,3582.96,0,3582.96,,,,22525,,Southbend,IN,46614,4692,,,,,,,,,,
17506,7/17/14 0:00,7/17/14 0:00,F,,U,R162A,5GAKVBED1BJ380756,Buick,Enclave,2011,25150,4261.11,766,3495.11,13.25,60,623.64,22527,,Granger,IN,46530,8288,2995,,,,,,,,,
17507,7/15/14 0:00,7/15/14 0:00,F,,U,R150A,JTHCE96S870007265,Lexus,GS 350,2007,21500,5233,0,5233,,,,104883,,Goshen,IN,46526,5283,,,JT8BH28F5W0139652,1998,Lexus,LS 400,,,,
1751,12/15/06 0:00,12/15/06 0:00,F,,U,CCF563B,5TBDT48154S438683,Toyota,Tundra,2004,22250,2371.25,-623.75,2995,,1,20984,11238,,Granger,IN,465305847,8002,,F563C,1GCFC29R3VE193608,1997,Chevrolet,C2500,,,,
17511,8/23/14 0:00,8/23/14 0:00,F,,N,R173,2T2BK1BA1FC267205,Lexus,RX 350,2015,49311,1123,200,923,2.9,36,584.69,13608,11/19/70 0:00,Granger,IN,46530,5283,,,,,,,,,,
17518,8/14/14 0:00,8/14/14 0:00,F,,N,P500,JTHKD5BH6E2181841,Lexus,CT 200h,2014,33379,102,200,-98,2.9,36,367.84,22628,,Valparaiso,IN,463832004,4692,,,3VWPL7AJ7BM722018,2011,Volkswagen,Jetta SportWagen,,,,
17524,7/18/14 0:00,7/18/14 0:00,F,,U,P478A,JTJBM7FX4C5049541,Lexus,GX 460,2012,43995,5183.21,0,5183.21,,,,100480,11/8/48 0:00,Mishawaka,IN,465458902,8288,,,3FAHP07Z08R148900,2008,Ford,Fusion,,,,
17534,7/19/14 0:00,7/19/14 0:00,F,,N,R172,JTJBK1BA2F2467722,Lexus,RX 350,2015,45362.8,386.8,200,186.8,2.9,36,528.63,19462,,Plymouth,IN,46563,5283,,,,,,,,,,
17536,7/19/14 0:00,7/19/14 0:00,F,,U,L1441,TRUUT28N161000652,Audi,TT,2006,15495,4423.42,882.73,3540.69,5.05,60,333.56,15881,8/28/60 0:00,Granger,IN,465306246,4692,,,3TMLU4EN4CM094849,2012,Toyota,Tacoma,,,,
17539,7/21/14 0:00,7/21/14 0:00,F,,U,R149A,2T2BK1BA6AC039516,Lexus,RX 350,2010,24893,4633.47,911.22,3722.25,2.9,60,323.63,19879,,Edwardsburg,MI,491128752,2995,,,2T2HA31U35C060138,2005,Lexus,RX 330,,,,
17541,7/21/14 0:00,7/21/14 0:00,F,,U,R110B,JTJHF10U410231623,Lexus,RX 300,2001,7295,2507.78,0,2507.78,,,,22550,,Mishawaka,IN,46545,4692,,,2B4GP44G7YR745612,2000,Dodge,Grand Caravan,,,,
17551,7/22/14 0:00,7/22/14 0:00,F,,U,P457A,JTHBK1EG5B2456760,Lexus,ES 350,2011,30995,3663.67,618.29,3045.38,5.7,60,594.9,22555,,Greenwood,IN,46142,8288,,,WBAGN63545DS56746,2005,BMW,745Li,,,,
17553,7/23/14 0:00,7/23/14 0:00,F,,N,R167,2T2BK1BA9FC267498,Lexus,RX 350,2015,51334,1623,595,1028,,,,19541,,Michigan City,IN,46360,4692,,,2T2BK1BA6CC126089,2012,Lexus,RX 350,,,,
17557,7/25/14 0:00,7/25/14 0:00,F,,N,P449,JTHBK1GG8E2126001,Lexus,ES 350,2014,44297,1017.82,370.7,647.12,2.9,48,550.63,13335,5/4/47 0:00,South Bend,IN,46619,2995,,,JTHBK1EG1B2431516,2011,Lexus,ES 350,,,,
1756,12/15/06 0:00,12/15/06 0:00,F,,N,CCG467,JTHBJ46G872072059,Lexus,ES 350,2007,40252,2918,-390,3308,,1,20987.37,644932,,Bristol,IN,465079417,2995,,G467A,JTHBF30G725021437,2002,Lexus,ES 300,2C3HE66G9YH220535,2000,Chrysler,300M
17564,7/25/14 0:00,7/25/14 0:00,F,,N,P452,JTHBK1GG1E2132822,Lexus,ES 350,2014,40225,1586,0,1586,,,,22563,,Mishawaka,IN,46545,2995,,,WBAEW53423PG22157,2003,BMW,330,,,,
17565,7/31/14 0:00,7/31/14 0:00,F,,N,R164,2T2BK1BA0FC265798,Lexus,RX 350,2015,49845,1039,0,1039,,,,323387,,South Bend,IN,46635,9336,,,JTJHA31U250088704,2005,Lexus,RX 330,,,,
17569,7/28/14 0:00,7/28/14 0:00,F,,N,R148,2T2BK1BA3FC261356,Lexus,RX 350,2015,49439,1070.15,437.15,633,2.9,36,551.98,19447,,Mishawaka,IN,46544,4692,,,,,,,,,,
17570,7/29/14 0:00,7/29/14 0:00,F,,N,R184,2T2BK1BA9FC269722,Lexus,RX 350,2015,51000,338,200,138,2.9,36,585.52,101692,,Edwardsburg,MI,49112,2876,,,2T2BK1BA1CC148193,2012,Lexus,RX 350,,,,
17577,7/31/14 0:00,7/31/14 0:00,F,,U,R149B,2T2HA31U35C060138,Lexus,RX 330,2005,12738.68,3931.81,0,3931.81,,,,22568,,Niles,MI,49120,5283,,,,,,,,,,
17578,7/28/14 0:00,7/28/14 0:00,F,,N,P489,JTHBK1GG6E2136395,Lexus,ES 350,2014,42000,-413,0,-413,,,,22569,,South Bend,IN,46614,5283,,,,,,,,,,
17580,7/31/14 0:00,7/31/14 0:00,F,,N,P490,JTHBK1GGXE2136870,Lexus,ES 350,2014,39292.22,-636.78,0,-636.78,,,,12799,,Stevensville,MI,49127,2876,,,,,,,,,,
17584,7/29/14 0:00,7/29/14 0:00,F,,U,R123A,WDDHF8JB4CA612898,Mercedes-Benz,E350,2012,30695,1918.72,0,1918.72,,,,20024,10/6/65 0:00,South Bend,IN,466286121,8288,,,JTJBT20X280160947,2008,Lexus,GX 470,,,,
17586,7/30/14 0:00,7/30/14 0:00,F,,N,R171,2T2BK1BA6FC267961,Lexus,RX 350,2015,50149,1274.07,431.07,843,2.9,36,634.59,11118,5/5/58 0:00,Bremen,IN,46506,2995,,,2T2BK1BA8DC159550,2013,Lexus,RX 350,,,,
17588,7/31/14 0:00,7/31/14 0:00,F,,N,P426,JTHBK1GG7E2127737,Lexus,ES 350,2014,42752,914.84,685.74,-270.93,2.9,48,450.97,444945,6/30/42 0:00,Elkhart,IN,46514,2876,,,2T2BK1BAXBC099641,2011,Lexus,RX 350,,,,
17590,8/2/14 0:00,8/2/14 0:00,F,,U,P383A,JTHBK1EGXB2447309,Lexus,ES 350,2011,27150.47,1311.5,0,1311.5,,,,12674,,Culver,IN,465118930,4692,,,JTHBA30G665162777,2006,Lexus,ES 330,,,,
17599,7/31/14 0:00,7/31/14 0:00,F,,N,R190,JTJBK1BA0F2468965,Lexus,RX 350,2015,46500,846,250,596,0.9,60,850.92,22586,,Granger,IN,46530,5283,,,,,,,,,,
1760,12/15/06 0:00,12/15/06 0:00,F,,N,CCG469,JTHBL46F875013853,Lexus,LS 460,2007,69476,9118.05,598.05,9765,,1,49858.69,11975,,Berrien Ctr,MI,491028724,2876,,,,,,,,,,
17600,7/31/14 0:00,7/31/14 0:00,F,,N,R185,2T2BK1BA2FC271196,Lexus,RX 350,2015,50000,859,250,609,0.9,60,550,12146,,Saint Joseph,MI,490859431,2876,,,JTHBJ46G272128612,2007,Lexus,ES 350,,,,
17602,8/5/14 0:00,8/5/14 0:00,F,,N,P494,JTHBK1GG0E2141897,Lexus,ES 350,2014,44523,1250.04,604.04,646,2.9,36,636.71,16735,7/29/45 0:00,South Bend,IN,46617,2876,,,WAUFFAFC6EN031440,2014,Audi,A6,,,,
1761,12/15/06 0:00,12/15/06 0:00,F,,N,CCG474,2T2HK31U67C039655,Lexus,RX 350,2007,39974,2566.3,-272.7,2839,,1,37122.69,11980,,La Porte,IN,463504499,2995,,G474A,2C3HE66G3YH150739,2000,Chrysler,300M,,,,
17610,8/1/14 0:00,8/1/14 0:00,F,,N,R170,2T2BK1BA6FC262372,Lexus,RX 350,2015,47305,53,200,-147,2.9,48,547.37,21142,,Bridgman,MI,49106,2995,,,2T2HK31U58C060725,2008,Lexus,RX 350,,,,
17611,8/1/14 0:00,8/1/14 0:00,F,,U,P260A,2T2BK1BA6AC065825,Lexus,RX 350,2010,27400,2123.69,0,2123.69,,,,104166,,Chicago,IL,606472703,8288,,,JT6HF10U1Y0114845,2000,Lexus,RX 300,,,,
17613,8/4/14 0:00,8/4/14 0:00,F,,U,N870B,2T2BK1BA3AC010166,Lexus,RX 350,2010,24132,-860.79,0,-860.79,,,,22592,,Battle Creek,MI,49015,4692,,,,,,,,,,
17615,8/4/14 0:00,8/4/14 0:00,F,,N,P361,JTHKD5BH4E2181157,Lexus,CT 200h,2014,32635,653,200,453,2.9,48,390.94,12531,,Mishawaka,IN,46545,5283,,,2T2HK31U67C011015,2007,Lexus,RX 350,,,,
1762,12/15/06 0:00,12/15/06 0:00,F,,N,CCF555,JTJHW31U160044731,Lexus,RX 400h,2006,45285,3778.74,250,3981,5.59,60,629.95,637504,,Lawrenceburg,IN,470258818,2876,5283,F555A,JTHBF30G630109765,2003,Lexus,ES 300,,,,
17620,8/5/14 0:00,8/5/14 0:00,F,,U,L1438,JTHBK1EG9B2453442,Lexus,ES 350,2011,25833,3557.49,1054.64,2502.85,6.25,60,409.58,22600,,Sioux Falls,SD,57106,2876,,,JTHBJ46G472100357,2007,Lexus,ES 350,,,,
17622,8/2/14 0:00,8/2/14 0:00,F,,U,P233C,2C8GF68464R610485,Chrysler,Pacifica,2004,4350,3410,0,3410,,,,22594,,South Bend,IN,46614,4692,,,,,,,,,,
17625,8/6/14 0:00,8/6/14 0:00,F,,U,L1434,JTHBK1EG4B2449699,Lexus,ES 350,2011,27898,1367.47,0,1367.47,,,,556222,,South Bend,IN,46635,4692,,,,,,,,,,
17631,8/5/14 0:00,8/5/14 0:00,F,,N,P483,JTHCL5EF9E5021212,Lexus,LS 460,2014,77641,-609.07,1855,-2464.07,2.9,48,905.41,11084,10/8/57 0:00,Granger,IN,465304285,2995,2876,,JTHCL5EF4C5014777,2012,Lexus,LS 460,,,,
17633,8/5/14 0:00,8/5/14 0:00,F,,N,P384,JTHKD5BH7E2183226,Lexus,CT 200h,2014,38029,2156,1720,436,0.9,60,542.96,11084,10/8/57 0:00,Granger,IN,465304285,2876,2995,,WBAVD53588A010695,2008,BMW,335,,,,
17636,8/6/14 0:00,8/6/14 0:00,F,,N,R151,2T2ZK1BA2FC156791,Lexus,RX 350,2015,45824,737,200,537,2.9,48,531.84,424925,9/7/42 0:00,Granger,IN,46530,5283,,,2T2ZK1BAXCC074755,2012,Lexus,RX 350,,,,
1764,12/19/06 0:00,12/19/06 0:00,F,,N,CCG475,2T2HK31U27C041905,Lexus,RX 350,2007,38500,907,-200,1107,,1,28730.25,11929,,Knoxville,TN,379331228,2947,,G475A,WVWPD63B23P058187,2003,Volkswagen,Passat,,,,
17642,8/26/14 0:00,8/26/14 0:00,F,,U,L1228,JTJBC1BA6A2011065,Lexus,RX 450h,2010,31000,700.28,0,700.28,,,,10753,,Oak Park,MI,482372122,9336,,,JTJHW31U660001955,2006,Lexus,RX 400h,,,,
17643,8/8/14 0:00,8/8/14 0:00,F,,U,L1451,2T2BK1BA8DC164568,Lexus,RX 350,2013,41500,4526.6,0,4526.6,,,,20877,,Avilla,IN,467100404,9336,,,2T2BK1BA1BC114852,2011,Lexus,RX 350,,,,
17644,8/16/14 0:00,8/16/14 0:00,F,,N,R199,JTJBK1BA4F2470623,Lexus,RX 350,2015,46468,2300.33,1215.33,1085,2.9,48,517.57,364633,4/1/45 0:00,Three Rivers,MI,490939254,2876,,,2T2BK1BAXBC094858,2011,Lexus,RX 350,,,,
17645,8/16/14 0:00,8/16/14 0:00,F,,N,R161,2T2BK1BA3FC263074,Lexus,RX 350,2015,45936.14,-582.86,200,-782.86,2.9,48,517.57,364633,4/1/45 0:00,Three Rivers,MI,490939254,2876,,,2T2BK1BA8BC084149,2011,Lexus,RX 350,,,,
17656,8/9/14 0:00,8/9/14 0:00,F,,U,L1449,2T2BK1BA1DC162628,Lexus,RX 350,2013,38995,2373.05,0,2373.05,,,,22606,,Portage,MI,49024,4692,,,5TDZK22CX8S141106,2008,Toyota,Sienna,,,,
17659,8/8/14 0:00,8/8/14 0:00,F,,N,R189,JTJBK1BA2F2470376,Lexus,RX 350,2015,46949,2537.13,764.13,1773,2.9,48,523.59,17267,,Niles,MI,49120,2995,,,2T2BK1BA4AC079044,2010,Lexus,RX 350,,,,
17660,8/8/14 0:00,8/8/14 0:00,F,,U,L1450,2T2BK1BA7DC173259,Lexus,RX 350,2013,41995,4223.6,0,4223.6,,,,103892,,Saint Joseph,MI,490859645,9336,,,,,,,,,,
17672,8/15/14 0:00,8/15/14 0:00,F,,N,R192,2T2BK1BA0FC272668,Lexus,RX 350,2015,51334,528,250,278,0.9,60,606.45,13110,3/16/47 0:00,Bloomington,IL,61704,2876,,,2T2HK31U58C068968,2008,Lexus,RX 350,,,,
17674,8/19/14 0:00,8/19/14 0:00,F,,N,P502,JTHBK1GG8E2140660,Lexus,ES 350,2014,43869,1242.27,856.27,386,2.9,48,555.01,14417,10/20/58 0:00,South Bend,IN,46614,5283,,,2T2BK1BA4BC112805,2011,Lexus,RX 350,,,,
17676,8/11/14 0:00,8/11/14 0:00,F,,U,R168A,2T2BK1BA0DC193529,Lexus,RX 350,2013,44000,3172.04,1071.24,2100.8,4.3,72,711.07,22620,,Vernon Hills,IL,600611234,8288,2995,,JNKCV64EX8M103579,2008,Infiniti,G37,,,,
17677,8/11/14 0:00,8/11/14 0:00,F,,U,P289A,1D4PU4GK0BW590950,Dodge,Nitro,2011,16232,2240.01,0,2240.01,,,,22618,,South Bend,IN,466372102,2876,,,,,,,,,,
17678,8/22/14 0:00,8/22/14 0:00,F,,N,P509,JTHCE1BL3E5027777,Lexus,GS 350,2014,59452,699.58,575,124.58,,,,18211,,Union,MI,49130,2876,,,JN1BY1AR9BM371421,2011,Infiniti,M37x,,,,
17679,8/14/14 0:00,8/14/14 0:00,F,,U,R164A,JTJHA31U250088704,Lexus,RX 330,2005,15625,3841.79,984.79,2857,16.3,60,385.71,22622,,South Bend,IN,466283103,8288,,,1FMCU92Z66KA97151,2006,Ford,Escape,,,,
17680,8/16/14 0:00,8/16/14 0:00,F,,N,P501,JTHFE2C2XE2510810,Lexus,IS 350C,2014,54261,674,0,674,,,,779437,,Granger,IN,465306523,2995,,,JTHCH96S360010712,2006,Lexus,GS 300,,,,
17682,8/28/14 0:00,8/28/14 0:00,F,,N,R207,2T2BK1BA3FC274043,Lexus,RX 350,2015,49445,424,250,174,0.9,60,680,18543,,Saint Joseph,MI,49085,9336,,,,,,,,,,
17684,8/12/14 0:00,8/12/14 0:00,F,,U,P399B,JH4KA965XWC010621,Acura,RL,1998,3800,2161.8,0,2161.8,,,,22627,,Warsaw,IN,465808307,5283,,,,,,,,,,
17686,8/12/14 0:00,8/12/14 0:00,F,,U,P444B,WAUED28D5WA139179,Audi,A4,1998,2873,1433,0,1433,,,,22562,,South Bend,IN,466171242,2995,,,,,,,,,,
17691,8/15/14 0:00,8/15/14 0:00,F,,N,R200,2T2BK1BA6FC274845,Lexus,RX 350,2015,50895,1674,200,1474,0.9,60,496.15,22629,,Niles,MI,491207793,4692,,,,,,,,,,
17693,8/13/14 0:00,8/13/14 0:00,F,,U,R184A,2T2BK1BA1CC148193,Lexus,RX 350,2012,38995,3479.94,0,3479.94,,,,10496,,Mishawaka,IN,46544,4692,,,2T2HA31U65C075314,2005,Lexus,RX 330,,,,
17694,8/20/14 0:00,8/20/14 0:00,F,,N,R205,2T2BK1BA1FC270170,Lexus,RX 350,2015,47693.66,1494.5,778.84,715.66,2.9,48,563.7,298364,5/13/44 0:00,Stevensville,MI,491279514,4692,,,2T2BK1BA5CC123295,2012,Lexus,RX 350,,,,
17696,8/14/14 0:00,8/14/14 0:00,F,,U,P361A,2T2HK31U67C011015,Lexus,RX 350,2007,19995,4207.99,1077.18,3130.81,5.05,60,407.04,22631,,Mishawaka,IN,465454611,2876,,,,,,,,,,
17709,8/14/14 0:00,8/14/14 0:00,F,,U,P387A,YV1CZ91H141084304,Volvo,XC90,2004,5893,2691.92,0,2691.92,,,,22633,,Niles,MI,491202132,2876,,,1J4GL48K42W128030,2002,Jeep,Liberty,,,,
